Date compared,Date assessed,Slope IDs,Tree IDs,Status (in Order / follow-up
09/08/2022,10/08/2022,SA1860,TS058,Follow-Up (Sway): F = 1.06097 day1: 5.35075 day2: 5.67702
10/08/2022,11/08/2022,SA1745,TS008,Follow-Up (Sway): F = 1.14616 day1: 6.06215 day2: 6.94820
10/08/2022,11/08/2022,SA1745,TS013,Follow-Up (Sway): F = 1.00263 day1: 4.99462 day2: 5.00780
10/08/2022,11/08/2022,SA1745,TS015,In Order
10/08/2022,11/08/2022,SA2322,TS001,In Order
10/08/2022,11/08/2022,SA1652,TS003,In Order
10/08/2022,11/08/2022,SA1707,TS001,In Order
10/08/2022,11/08/2022,SA1706,TS001,In Order
10/08/2022,11/08/2022,SA1860,TS058,Follow-Up (Sway): F = 1.12483 day1: 5.54961 day2: 6.24242
11/08/2022,12/08/2022,SA1745,TS008,In Order
11/08/2022,12/08/2022,SA1745,TS013,In Order
11/08/2022,12/08/2022,SA1745,TS015,In Order
11/08/2022,12/08/2022,SA2322,TS001,Follow-Up (Sway): F = 1.02441 day1: 5.43091 day2: 5.56351
11/08/2022,12/08/2022,SA1652,TS003,In Order
11/08/2022,12/08/2022,SA1707,TS001,In Order
11/08/2022,12/08/2022,SA1706,TS001,In Order
11/08/2022,12/08/2022,SA1860,TS058,In Order
12/08/2022,13/08/2022,SA1745,TS008,Follow-Up (Sway): F = 2.43536 day1: 5.93858 day2: 1.44626
12/08/2022,13/08/2022,SA1745,TS013,Follow-Up (Sway): F = 1.12968 day1: 4.95769 day2: 5.60062
12/08/2022,13/08/2022,SA1745,TS015,In Order
12/08/2022,13/08/2022,SA2322,TS001,Follow-Up (Sway): F = 1.38556 day1: 5.72651 day2: 7.93446
12/08/2022,13/08/2022,SA1652,TS003,Follow-Up (Sway): F = 1.03008 day1: 5.31175 day2: 5.47156
12/08/2022,13/08/2022,SA1707,TS001,Follow-Up (Sway): F = 1.05475 day1: 5.07414 day2: 5.35196
12/08/2022,13/08/2022,SA1706,TS001,Follow-Up (Sway): F = 1.16224 day1: 5.71780 day2: 6.64551
12/08/2022,13/08/2022,SA1860,TS058,Follow-Up (Sway): F = 1.69276 day1: 5.31645 day2: 8.99949
12/08/2022,14/08/2022,SA1745,TS008,Follow-Up (Sway): F = 2.47679 day1: 4.83172 day2: 1.19671
12/08/2022,14/08/2022,SA1745,TS013,Follow-Up (Sway): F = 1.12735 day1: 4.82656 day2: 5.44126
12/08/2022,14/08/2022,SA1745,TS015,Follow-Up (Sway): F = 1.17005 day1: 5.09347 day2: 5.95967
12/08/2022,14/08/2022,SA2322,TS001,In Order
12/08/2022,14/08/2022,SA1652,TS003,In Order
12/08/2022,14/08/2022,SA1707,TS001,In Order
12/08/2022,14/08/2022,SA1706,TS001,In Order
12/08/2022,14/08/2022,SA1860,TS058,In Order
2022-08-13,2022-08-15,SA1745,TS008,In Order
2022-08-13,2022-08-15,SA1745,TS013,In Order
2022-08-13,2022-08-15,SA1745,TS015,In Order
2022-08-13,2022-08-15,SA2322,TS001,Follow-Up (Sway): F = 1.15758 day1: 5.89106 day2: 6.81940
2022-08-13,2022-08-15,SA1652,TS003,In Order
2022-08-13,2022-08-15,SA1707,TS001,In Order
2022-08-13,2022-08-15,SA1706,TS001,In Order
2022-08-13,2022-08-15,SA1860,TS058,In Order
2022-08-14,2022-08-16,SA1745,TS008,In Order
2022-08-14,2022-08-16,SA1745,TS013,In Order
2022-08-14,2022-08-16,SA1745,TS015,In Order
2022-08-14,2022-08-16,SA2322,TS001,In Order
2022-08-14,2022-08-16,SA1652,TS003,In Order
2022-08-14,2022-08-16,SA1707,TS001,In Order
2022-08-14,2022-08-16,SA1706,TS001,Follow-Up (Sway): F = 1.02682 day1: 5.44203 day2: 5.58803
2022-08-14,2022-08-16,SA1860,TS058,In Order
2022-08-15,2022-08-17,SA1745,TS008,Follow-Up (Sway): F = 1.55417 day1: 8.65479 day2: 1.34510
2022-08-15,2022-08-17,SA1745,TS013,Follow-Up (Sway): F = 1.08272 day1: 5.16895 day2: 5.59655
2022-08-15,2022-08-17,SA1745,TS015,Follow-Up (Sway): F = 1.60841 day1: 5.38846 day2: 8.66690
2022-08-15,2022-08-17,SA2322,TS001,Follow-Up (Sway): F = 1.03758 day1: 5.47707 day2: 5.68291
2022-08-15,2022-08-17,SA1652,TS003,Follow-Up (Sway): F = 1.00560 day1: 5.35235 day2: 5.38237
2022-08-15,2022-08-17,SA1707,TS001,In Order
2022-08-15,2022-08-17,SA1706,TS001,Follow-Up (Sway): F = 1.15290 day1: 5.58803 day2: 6.44247
2022-08-15,2022-08-17,SA1860,TS058,Follow-Up (Sway): F = 1.04341 day1: 6.05842 day2: 6.32148
2022-08-16,2022-08-18,SA1745,TS008,In Order
2022-08-16,2022-08-18,SA1745,TS013,In Order
2022-08-16,2022-08-18,SA1745,TS015,In Order
2022-08-16,2022-08-18,SA2322,TS001,In Order
2022-08-16,2022-08-18,SA1652,TS003,In Order
2022-08-16,2022-08-18,SA1707,TS001,In Order
2022-08-16,2022-08-18,SA1706,TS001,In Order
2022-08-16,2022-08-18,SA1860,TS058,In Order
2022-08-17,2022-08-19,SA1745,TS008,In Order
2022-08-17,2022-08-19,SA1745,TS013,In Order
2022-08-17,2022-08-19,SA1745,TS015,In Order
2022-08-17,2022-08-19,SA2322,TS001,Follow-Up (Sway): F = 1.04638 day1: 5.17595 day2: 5.41606
2022-08-17,2022-08-19,SA1652,TS003,In Order
2022-08-17,2022-08-19,SA1707,TS001,In Order
2022-08-17,2022-08-19,SA1706,TS001,Follow-Up (Sway): F = 1.06470 day1: 5.28665 day2: 5.62873
2022-08-17,2022-08-19,SA1860,TS058,Follow-Up (Sway): F = 1.05510 day1: 5.49363 day2: 5.79633
2022-08-18,2022-08-20,SA1745,TS008,Follow-Up (Sway): F = 1.21365 day1: 8.38204 day2: 1.01729
2022-08-18,2022-08-20,SA1745,TS013,In Order
2022-08-18,2022-08-20,SA1745,TS015,Follow-Up (Sway): F = 1.25754 day1: 5.27230 day2: 6.63018
2022-08-18,2022-08-20,SA2322,TS001,No Data
2022-08-18,2022-08-20,SA1652,TS003,Follow-Up (Sway): F = 1.00980 day1: 5.34992 day2: 5.40238
2022-08-18,2022-08-20,SA1707,TS001,In Order
2022-08-18,2022-08-20,SA1706,TS001,Follow-Up (Sway): F = 1.04917 day1: 5.56237 day2: 5.83592
2022-08-18,2022-08-20,SA1860,TS058,Follow-Up (Sway): F = 1.13133 day1: 5.79633 day2: 6.55757
2022-08-19,2022-08-21,SA1745,TS008,Follow-Up (Sway): F = 1.26937 day1: 1.01729 day2: 1.29133
2022-08-19,2022-08-21,SA1745,TS013,Follow-Up (Sway): F = 1.01914 day1: 5.19851 day2: 5.29802
2022-08-19,2022-08-21,SA1745,TS015,Follow-Up (Sway): F = 1.29644 day1: 6.63018 day2: 8.59569
2022-08-19,2022-08-21,SA2322,TS001,Follow-Up (Sway): F = 1.16699 day1: 5.54824 day2: 6.47479
2022-08-19,2022-08-21,SA1652,TS003,In Order
2022-08-19,2022-08-21,SA1707,TS001,Follow-Up (Sway): F = 1.02378 day1: 5.02574 day2: 5.14526
2022-08-19,2022-08-21,SA1706,TS001,In Order
2022-08-19,2022-08-21,SA1860,TS058,Follow-Up (Sway): F = 1.13414 day1: 6.99728 day2: 7.93595
2022-08-20,2022-08-22,SA1745,TS008,In Order
2022-08-20,2022-08-22,SA1745,TS013,In Order
2022-08-20,2022-08-22,SA1745,TS015,In Order
2022-08-20,2022-08-22,SA2322,TS001,In Order
2022-08-20,2022-08-22,SA1652,TS003,In Order
2022-08-20,2022-08-22,SA1707,TS001,In Order
2022-08-20,2022-08-22,SA1706,TS001,In Order
2022-08-20,2022-08-22,SA1860,TS058,In Order
2022-08-21,2022-08-23,SA1745,TS008,Follow-Up (Sway): F = 1.30950 day1: 8.62274 day2: 1.12915
2022-08-21,2022-08-23,SA1745,TS013,Follow-Up (Sway): F = 1.09684 day1: 5.11740 day2: 5.61298
2022-08-21,2022-08-23,SA1745,TS015,Follow-Up (Sway): F = 1.00231 day1: 5.30557 day2: 5.31783
2022-08-21,2022-08-23,SA2322,TS001,In Order
2022-08-21,2022-08-23,SA1652,TS003,Follow-Up (Sway): F = 1.00499 day1: 5.32868 day2: 5.35527
2022-08-21,2022-08-23,SA1707,TS001,Follow-Up (Sway): F = 1.00053 day1: 5.09646 day2: 5.09917
2022-08-21,2022-08-23,SA1706,TS001,In Order
2022-08-21,2022-08-23,SA1860,TS058,Follow-Up (Sway): F = 1.35627 day1: 6.53036 day2: 8.85696
2022-08-22,2022-08-24,SA1745,TS008,Follow-Up (Sway): F = 1.07884 day1: 1.12915 day2: 1.21817
2022-08-22,2022-08-24,SA1745,TS013,Follow-Up (Sway): F = 1.00073 day1: 5.61298 day2: 5.61712
2022-08-22,2022-08-24,SA1745,TS015,Follow-Up (Sway): F = 1.15553 day1: 5.31783 day2: 6.14497
2022-08-22,2022-08-24,SA2322,TS001,In Order
2022-08-22,2022-08-24,SA1652,TS003,In Order
2022-08-22,2022-08-24,SA1707,TS001,In Order
2022-08-22,2022-08-24,SA1706,TS001,In Order
2022-08-22,2022-08-24,SA1860,TS058,In Order
2022-08-23,2022-08-25,SA1745,TS008,In Order
2022-08-23,2022-08-25,SA1745,TS013,In Order
2022-08-23,2022-08-25,SA1745,TS015,Follow-Up (Sway): F = 1.34449 day1: 6.14497 day2: 8.26185
2022-08-23,2022-08-25,SA2322,TS001,In Order
2022-08-23,2022-08-25,SA1652,TS003,Follow-Up (Sway): F = 1.00265 day1: 5.37656 day2: 5.39084
2022-08-23,2022-08-25,SA1707,TS001,Follow-Up (Sway): F = 1.01740 day1: 5.04808 day2: 5.13596
2022-08-23,2022-08-25,SA1706,TS001,Follow-Up (Sway): F = 1.16124 day1: 5.52281 day2: 6.41332
2022-08-23,2022-08-25,SA1860,TS058,Follow-Up (Sway): F = 1.24034 day1: 6.72488 day2: 8.34120
2022-08-24,2022-08-26,SA1745,TS008,Follow-Up (Sway): F = 1.58319 day1: 7.57155 day2: 1.19872
2022-08-24,2022-08-26,SA1745,TS013,Follow-Up (Sway): F = 1.05119 day1: 4.91336 day2: 5.16489
2022-08-24,2022-08-26,SA1745,TS015,In Order
2022-08-24,2022-08-26,SA2322,TS001,Follow-Up (Sway): F = 1.05079 day1: 5.36958 day2: 5.64233
2022-08-24,2022-08-26,SA1652,TS003,In Order
2022-08-24,2022-08-26,SA1707,TS001,Follow-Up (Sway): F = 1.00987 day1: 5.13596 day2: 5.18669
2022-08-24,2022-08-26,SA1706,TS001,In Order
2022-08-24,2022-08-26,SA1860,TS058,In Order
2022-08-25,2022-08-27,SA1745,TS008,In Order
2022-08-25,2022-08-27,SA1745,TS013,Follow-Up (Sway): F = 1.04462 day1: 5.16489 day2: 5.39539
2022-08-25,2022-08-27,SA1745,TS015,In Order
2022-08-25,2022-08-27,SA2322,TS001,Follow-Up (Sway): F = 1.12584 day1: 5.64233 day2: 6.35238
2022-08-25,2022-08-27,SA1652,TS003,In Order
2022-08-25,2022-08-27,SA1707,TS001,In Order
2022-08-25,2022-08-27,SA1706,TS001,Follow-Up (Sway): F = 1.10031 day1: 5.35788 day2: 5.89536
2022-08-25,2022-08-27,SA1860,TS058,Follow-Up (Sway): F = 1.27576 day1: 5.87018 day2: 7.48898
2022-08-26,2022-08-28,SA1745,TS008,In Order
2022-08-26,2022-08-28,SA1745,TS013,In Order
2022-08-26,2022-08-28,SA1745,TS015,Follow-Up (Sway): F = 1.03148 day1: 5.66350 day2: 5.84184
2022-08-26,2022-08-28,SA2322,TS001,In Order
2022-08-26,2022-08-28,SA1652,TS003,Follow-Up (Sway): F = 1.00660 day1: 5.28494 day2: 5.31985
2022-08-26,2022-08-28,SA1707,TS001,In Order
2022-08-26,2022-08-28,SA1706,TS001,In Order
2022-08-26,2022-08-28,SA1860,TS058,In Order
2022-08-27,2022-08-29,SA1745,TS008,In Order
2022-08-27,2022-08-29,SA1745,TS013,In Order
2022-08-27,2022-08-29,SA1745,TS015,In Order
2022-08-27,2022-08-29,SA2322,TS001,In Order
2022-08-27,2022-08-29,SA1652,TS003,In Order
2022-08-27,2022-08-29,SA1707,TS001,In Order
2022-08-27,2022-08-29,SA1706,TS001,In Order
2022-08-27,2022-08-29,SA1860,TS058,"Follow-Up (Sway): F = 13.9917 day1: 7.63279 day2: 0.00010, Follow-Up (Trend) day1: 0.06472 day2: 0.07179"
2022-08-28,2022-08-30,SA1745,TS008,Follow-Up (Sway): F = 1.40929 day1: 7.87930 day2: 1.11042
2022-08-28,2022-08-30,SA1745,TS013,Follow-Up (Sway): F = 1.05687 day1: 5.07701 day2: 5.36575
2022-08-28,2022-08-30,SA1745,TS015,In Order
2022-08-28,2022-08-30,SA2322,TS001,In Order
2022-08-28,2022-08-30,SA1652,TS003,In Order
2022-08-28,2022-08-30,SA1707,TS001,Follow-Up (Sway): F = 1.00704 day1: 5.02644 day2: 5.06184
2022-08-28,2022-08-30,SA1706,TS001,Follow-Up (Sway): F = 1.07775 day1: 5.19404 day2: 5.59792
2022-08-28,2022-08-30,SA1860,TS058,", Follow-Up (Trend) day1: 0.07179 day2: 0.09085"
2022-08-29,2022-08-31,SA1745,TS008,In Order
2022-08-29,2022-08-31,SA1745,TS013,In Order
2022-08-29,2022-08-31,SA1745,TS015,In Order
2022-08-29,2022-08-31,SA2322,TS001,Follow-Up (Sway): F = 1.04371 day1: 5.40955 day2: 5.64604
2022-08-29,2022-08-31,SA1652,TS003,In Order
2022-08-29,2022-08-31,SA1707,TS001,In Order
2022-08-29,2022-08-31,SA1706,TS001,In Order
2022-08-29,2022-08-31,SA1860,TS058,In Order
2022-08-30,2022-09-01,SA1745,TS008,No Data
2022-08-30,2022-09-01,SA1745,TS013,No Data
2022-08-30,2022-09-01,SA1745,TS015,No Data
2022-08-30,2022-09-01,SA2322,TS001,No Data
2022-08-30,2022-09-01,SA1652,TS003,No Data
2022-08-30,2022-09-01,SA1707,TS001,No Data
2022-08-30,2022-09-01,SA1706,TS001,No Data
2022-08-30,2022-09-01,SA1860,TS058,No Data
2022-08-30,2022-09-01,SA1745,TS008,Follow-Up (Sway): F = 1.57607 day1: 7.07394 day2: 1.11491
2022-08-30,2022-09-01,SA1745,TS013,Follow-Up (Sway): F = 1.12156 day1: 5.07286 day2: 5.68955
2022-08-30,2022-09-01,SA1745,TS015,In Order
2022-08-30,2022-09-01,SA2322,TS001,In Order
2022-08-30,2022-09-01,SA1652,TS003,No Data
2022-08-30,2022-09-01,SA1707,TS001,No Data
2022-08-30,2022-09-01,SA1706,TS001,No Data
2022-08-30,2022-09-01,SA1860,TS058,No Data
2022-08-30,2022-09-01,SA1745,TS008,Follow-Up (Sway): F = 1.57607 day1: 7.07394 day2: 1.11491
2022-08-30,2022-09-01,SA1745,TS013,Follow-Up (Sway): F = 1.12156 day1: 5.07286 day2: 5.68955
2022-08-30,2022-09-01,SA1745,TS015,In Order
2022-08-30,2022-09-01,SA2322,TS001,In Order
2022-08-30,2022-09-01,SA1652,TS003,Follow-Up (Sway): F = 1.01131 day1: 5.29634 day2: 5.35627
2022-08-30,2022-09-01,SA1707,TS001,Follow-Up (Sway): F = 1.01248 day1: 5.00083 day2: 5.06325
2022-08-30,2022-09-01,SA1706,TS001,Follow-Up (Sway): F = 1.21097 day1: 5.24852 day2: 6.35581
2022-08-30,2022-09-01,SA1860,TS058,Follow-Up (Sway): F = 1.07649 day1: 5.87428 day2: 6.32362
2022-08-31,2022-09-02,SA1745,TS008,In Order
2022-08-31,2022-09-02,SA1745,TS013,In Order
2022-08-31,2022-09-02,SA1745,TS015,Follow-Up (Sway): F = 1.09392 day1: 5.58480 day2: 6.10935
2022-08-31,2022-09-02,SA2322,TS001,Follow-Up (Sway): F = 1.12648 day1: 5.44329 day2: 6.13177
2022-08-31,2022-09-02,SA1652,TS003,In Order
2022-08-31,2022-09-02,SA1707,TS001,Error analyzing data
2022-08-31,2022-09-02,SA1706,TS001,In Order
2022-08-31,2022-09-02,SA1860,TS058,Follow-Up (Sway): F = 1.22266 day1: 6.32362 day2: 7.73165
2022-09-01,2022-09-03,SA1745,TS008,Follow-Up (Sway): F = 1.00138 day1: 9.35510 day2: 9.36804
2022-09-01,2022-09-03,SA1745,TS013,Follow-Up (Sway): F = 1.06437 day1: 5.31427 day2: 5.65637
2022-09-01,2022-09-03,SA1745,TS015,Follow-Up (Sway): F = 1.04696 day1: 6.10935 day2: 6.39628
2022-09-01,2022-09-03,SA2322,TS001,In Order
2022-09-01,2022-09-03,SA1652,TS003,In Order
2022-09-01,2022-09-03,SA1707,TS001,No Data
2022-09-01,2022-09-03,SA1706,TS001,In Order
2022-09-01,2022-09-03,SA1860,TS058,In Order
2022-09-02,2022-09-04,SA1745,TS008,In Order
2022-09-02,2022-09-04,SA1745,TS013,In Order
2022-09-02,2022-09-04,SA1745,TS015,"Follow-Up (Sway): F = 2.46076 day1: 6.39628 day2: 1.57397, Follow-Up (Trend) day1: -0.0251 day2: -0.0171"
2022-09-02,2022-09-04,SA2322,TS001,In Order
2022-09-02,2022-09-04,SA1652,TS003,Follow-Up (Sway): F = 1.01057 day1: 5.29696 day2: 5.35298
2022-09-02,2022-09-04,SA1707,TS001,No Data
2022-09-02,2022-09-04,SA1706,TS001,In Order
2022-09-02,2022-09-04,SA1860,TS058,In Order
2022-09-03,2022-09-05,SA1745,TS008,Follow-Up (Sway): F = 1.21191 day1: 8.93402 day2: 1.08272
2022-09-03,2022-09-05,SA1745,TS013,In Order
